µ¥´Ê,´ÊÆµ
n,0.3531147341525733
v,0.23771140041367558
m,0.055633288721255614
nr,0.05082735125927727
l,0.0427667599464655
i,0.04091130307823335
a,0.04085046842681591
d,0.029352719308918352
ns,0.02071419880764083
t,0.013931135174595446
nz,0.01380946587176055
vn,0.01314028470616863
r,0.010615646672344567
z,0.009551040272539236
s,0.008091008638520499
b,0.0076651660785983676
c,0.007543496775763473
nrt,0.006357221073123249
f,0.005170945370483026
j,0.004228008273512592
nt,0.004106338970677697
q,0.003954252342134079
ng,0.003741331062173013
p,0.002463803382406618
zg,0.0019162915196495919
vg,0.0016121182625623552
o,0.0014904489597274604
ad,0.001460031634018737
mq,0.0012775276797663947
g,0.0010950237255140526
y,0.0008212677941355394
u,0.0006691811655919211
nrfg,0.0006083465141744737
an,0.0004562598856308552
e,0.00042584255992213156
ag,0.00042584255992213156
x,0.0003650079085046842
tg,0.00027375593137851314
k,0.00012166930283489472
yg,0.00012166930283489472
dg,9.125197712617106e-05
vd,6.083465141744736e-05
h,6.083465141744736e-05
uj,3.041732570872368e-05
ul,3.041732570872368e-05
uv,3.041732570872368e-05
ug,3.041732570872368e-05
ud,3.041732570872368e-05
df,3.041732570872368e-05
uz,3.041732570872368e-05
rr,3.041732570872368e-05
rz,3.041732570872368e-05
vi,3.041732570872368e-05
rg,3.041732570872368e-05
vq,3.041732570872368e-05
mg,3.041732570872368e-05
