具体位置,房价
[三至四环]丰台马家堡东路168号院,"
65500元/m^2
"
[五至六环]丰台长辛店长云路2号,"
45000元/m^2
"
[三至四环]丰台西南三环嘉园路与镇国寺北街交叉口,"
99500元/m^2
"
[五至六环]丰台长青路88号,"
45000元/m^2
"
[四至五环]丰台南四环地铁新宫站南500米,"
82000元/m^2
"
[四至五环]丰台南四环公益西桥南行槐房西路与西红门路交汇,"
68000元/m^2
"
[二至三环]丰台三环内 万柳桥内环辅路向西500米,"
116000元/m^2
"
[二至三环]丰台西南二环右安门外西铁营万达广场东侧,"
3200万元/套起
"
"[二至三环]丰台二环左安门桥,北京东二环龙潭湖南800米","
119000元/m^2
"
[三至四环]丰台西四环中路112号,"
110000元/m^2
"
[三至四环]丰台西三环康庄东路西侧,"
130000元/m^2
"
[三至四环]丰台南三环东铁营向南600米,"
80000元/m^2
"
[五至六环]丰台丰台区王佐镇中心中地段,"
51000元/m^2起
"
"[四至五环]丰台西四环看丹桥西侧200米,资和信百货西北侧","
940万元/套起
"
[四至五环]丰台汽车博物馆东路,"
55000元/m^2
"
[三至四环]丰台10号线首经贸地铁站b口,"
300万元/套起
"
[三至四环]丰台张仪村甲18号,"
40000元/m^2
"
丰台北京市丰台区地铁10号线首经贸站b口,"
300万元/套起
"
[三至四环]丰台石榴庄南里8号,"
5.5元/平方米.天
"
