具体位置,房价
[五至六环]大兴地铁8号线瀛海站北200米,"
260万元/套起
广告
"
[六环以外]大兴首镇路与育镇街交口西北侧,"
31136元/m^2
"
[五至六环]大兴科创十一街与经海九路交汇处西南角(亦庄线次渠南站200米即到),"
52695元/m^2
"
[六环以外]大兴庞各庄桥西1500米,"
37000元/m^2
"
[六环以外]大兴采育镇采华路南端住总·如院售楼处,"
300万元/套起
"
[五至六环]大兴南海子公园西侧(南五环旧忠桥向南第二个红绿灯西),"
66000元/m^2
"
[五至六环]大兴五环南海子公园西,"
55000元/m^2起
"
[五至六环]大兴经济技术开发区河西区四合路与兴海一街交叉口东北角,"
300万元/套起
"
[五至六环]大兴博兴十路与兴海路交叉口,"
52695元/m^2
"
[六环以外]大兴魏善庄镇龙江路北侧200米处,"
25000元/m^2
"
[五至六环]大兴义和庄地铁站北600米,"
47000元/m^2
"
[四至五环]大兴荣京西街(荣京东街地铁站西600米),"
39800元/m^2
"
[五至六环]大兴兴亦路京开高速东侧,"
76000元/m^2
"
[五至六环]大兴亦庄经济开发区博兴西路与泰河三街交叉口 (南海子公园东南),"
1300万元/套
"
[五至六环]大兴地铁4号线清源路站西侧800米(北京小学大兴分校对面),"
55800元/m^2
"
[六环以外]大兴魏善庄镇龙江路与龙善大街交叉口往东200米路北,"
29000元/m^2
"
[五至六环]大兴地铁4号线义和庄站d口旁,"
32000元/m^2
"
[四至五环]大兴经济技术开发区荣华北路,"
40000元/m^2
"
[五至六环]大兴广阳大街与盛坊路交汇处,"
38000元/m^2起
"
[五至六环]大兴荣华中路与荣京西街交汇处西南角,"
78000元/m^2
"
[五至六环]大兴德贤路瀛海出口东500米,"
1000万元/套起
"
[五至六环]大兴南五环与德贤路交叉口东南侧200米(旧忠路西侧),"
52315元/m^2
"
[四至五环]大兴南四环榴乡桥与德贤路交汇处东南角,"
79000元/m^2
"
"[四至五环]大兴南四环榴乡桥南,蒲黄榆路东","
75000元/m^2
"
[五至六环]大兴盛坊路一号院,"
35000元/m^2
"
[五至六环]大兴西红门镇金西路,"
33000元/m^2
"
[五至六环]大兴新媒体产业基地广阳大街与金苑路交汇处,"
32000元/m^2
"
[六环以外]大兴南中轴与龙江路交汇处东300米(世界月季公园北500米),"
40000元/m^2
"
[六环以外]大兴南中轴路魏善庄中学北侧,"
31000元/m^2
"
[五至六环]大兴博兴八路与兴海一街交叉口西南侧,"
52695元/m^2
"
[六环以外]大兴魏善庄镇南中轴龙建路东500米,"
280万元/套起
"
[五至六环]大兴亦庄南海子公园北侧,"
3500万元/套
"
[六环以外]大兴采育镇采凤路与采辛路交口东侧,"
770万元/套起
"
[四至五环]大兴地铁8号线瀛海站西300米,"
52449元/m^2
"
[五至六环]大兴亦庄经济开发区博兴西路与泰河二街交叉口东南角,"
1400万元/套
"
[五至六环]大兴地铁4号线义和庄站向北约500米,"
55016元/m^2
"
[五至六环]大兴亦庄核心生活区·南海子公园,"
3700万元/套起
"
[五至六环]大兴博兴八路与兴海一街交叉口西北侧,"
52695元/m^2
"
[五至六环]大兴亦庄经济技术开发区三海子东路南海子公园路北,"
60000元/m^2
"
[五至六环]大兴瀛海镇镇区北街与经二路交口处西南角,"
52449元/m^2
"
[四至五环]大兴京开高速西红门出口红绿灯西,"
4400万元/套起
"
[五至六环]大兴广阳大街与春和路交口西南,"
55016元/m^2
"
[五至六环]大兴四海路与合海街交叉口,"
价格待定
"
"[五至六环]大兴地铁4号线清源路站西侧800米,兴业大街与清源西路交汇处西南角","
55800元/m^2
"
[五至六环]大兴京台高速黄亦路出口东500米,"
3450万元/套起
"
[四至五环]大兴南大红门路与五福堂路交叉口,"
63500元/m^2
"
[五至六环]大兴亦庄经济开发区科创十一街与经海九路交汇处,"
53980元/m^2
"
[六环以外]大兴天华大街5号,"
23000元/m^2
"
[五至六环]大兴亦庄南海子公园东侧,"
1700万元/套
"
[六环以外]大兴地铁4号线生物医药基地站南200米路东,"
45000元/m^2
"
[六环以外]大兴庞各庄桥西1.5公里,"
750万元/套起
"
[五至六环]大兴京台高速黄亦路出口东500米,"
290万元/套起
"
[五至六环]大兴4号线黄村西大街站北200米,"
145万元/套起
"
[五至六环]大兴新城北区后高路与兴丰大街交汇处东北角,"
70000元/m^2
"
[六环以外]大兴榆垡镇京开高速(106国道段)东侧、榆垡路北侧,"
1600万元/套
"
[四至五环]大兴西红门宏康路与欣宁街交汇处向东100米路北,"
38000元/m^2
"
[五至六环]大兴南六环磁各庄桥沿南中轴向南,"
1580万元/套起
"
[四至五环]大兴地铁五号线延长线旧宫站出口,"
52000元/m^2
"
[六环以外]大兴隆华大街55号院,"
1800万元/套起
"
[五至六环]大兴黄村京开高速与黄马路交汇处,"
35000元/m^2
"
"[五至六环]大兴义和庄地铁站西南侧500米,念坛公园北侧","
41000元/m^2
"
[五至六环]大兴亦庄经海四路与科创五街交汇处,"
4.5元/平方米.天
"
[四至五环]大兴西红门欣荣北街与鸿宏福路交汇东北角,"
55000元/m^2
"
