具体位置,房价
[六环以外]密云京承高速密云收费站出口北行10公里密溪路33号,"
23000元/m^2
"
[六环以外]密云水库风景区南岸,"
325万元/套
"
[六环以外]密云通用博园小区南侧商业通用博园营销中心,"
26000元/m^2
"
[六环以外]密云溪翁庄镇白河畔密溪路33号,"
26000元/m^2
"
[六环以外]密云密溪路39号院,"
33000元/m^2
"
[六环以外]密云密关路36号院,"
450万元/套起
"
[六环以外]密云檀营乡檀西路东侧,"
15000元/m^2
"
[六环以外]密云久润东区东侧底商(檀西路与新北路交叉口西北角),"
25607元/m^2
"
[六环以外]密云新北路与檀西路交汇处,"
				新房已售完
				请查看二手房源
"
[六环以外]密云密关路与313省道交汇处(水库宾馆斜对面),"
23000元/m^2
"
[六环以外]密云城后街与新东路交叉口北500米,"
33000元/m^2
"
[六环以外]密云京承高速16出口水库方向、白河公园300米路东,"
1000万元/套起
"
[六环以外]密云果园街道西大桥路38号北院,"
23000元/m^2
"
[六环以外]密云滨河路水源路交叉口东南角,"
16000元/m^2
"
