具体位置,房价
[五至六环]房山地铁良乡大学城站南约900米,"
41000元/m^2
"
[六环以外]房山闫吕路中段,"
价格待定
"
[六环以外]房山良常路官道路口西800米,"
34000元/m^2
"
[六环以外]房山青龙湖,"
37245元/m^2
"
[五至六环]房山西五环·大学城西站南约800米,"
价格待定往期48000元/m^2
"
"[五至六环]房山苏庄大街和长虹路交叉口,地铁苏庄站北侧50米","
40837元/m^2
"
[六环以外]房山周口店镇政府东,"
370万元/套起
"
[六环以外]房山燕房线周口店镇站北约800米,"
333万元/套起
"
[六环以外]房山良乡良常路与京深路交口西侧约1500米,"
32500元/m^2
"
[五至六环]房山京港澳高速京良路长阳出口(19b出口)长阳环岛左转,"
29000元/m^2
"
[六环以外]房山京港澳高速阎村出口西行约1.5公里,"
38000元/m^2
"
"[六环以外]房山房山线地铁南关站约4公里,良常路西侧","
26000元/m^2
"
[六环以外]房山长沟国家湿地公园南侧,"
580万元/套起
"
[五至六环]房山长阳镇京良路西营路口向北900米,"
35800元/m^2
"
[五至六环]房山房山线 良乡大学城站向东约800米路南,"
47000元/m^2起
"
[五至六环]房山大苑村收费站出口(良坨路桥)左行250米右转,"
32000元/m^2
"
[五至六环]房山京港澳高速窦店出口即达,"
21000元/m^2
"
[五至六环]房山地铁房山线苏庄站向南700米,"
24000元/m^2
"
[六环以外]房山长沟湿地公园南700米,"
28000元/m^2
"
[六环以外]房山大苑村收费站出口(良坨路桥)左行200米,"
265万元/套起
"
[五至六环]房山长阳镇文昌东路与阜盛东街交汇处,"
53000元/m^2
"
[五至六环]房山房山线稻田站北行800米处,"
58000元/m^2
"
[五至六环]房山良乡·阳光北大街与多宝路交汇处西南,"
47500元/m^2
"
[五至六环]房山京港澳高速22b良乡机场出口处,"
34000元/m^2
"
[五至六环]房山清苑南街,"
50000元/m^2
"
[六环以外]房山阎村镇紫码路西行1500米,"
750万元/套起
"
[五至六环]房山csd商务大厦东侧,"
45000元/m^2
"
[五至六环]房山地铁苏庄站向南700米,"
24000元/m^2
"
[五至六环]房山良乡大学城地铁站东约400米,"
45000元/m^2
"
