具体位置,房价
[五至六环]昌平京藏高速与北清路交汇东两公里,"
54197元/m^2
"
[五至六环]昌平北五环未来科学城南区英才南三街与蓬莱苑南街交叉口,"
700万元/套起
"
[五至六环]昌平地铁昌平线沙河地铁站南600米,"
470万元/套起
"
[六环以外]昌平京承高速g11出口向西怀昌路北侧,"
27000元/m^2
"
[五至六环]昌平北七家镇政府正南,"
价格待定
"
[五至六环]昌平未来科学城,"
61000元/m^2
"
[五至六环]昌平北七家镇定泗路与七北路交叉口东行200米,"
55000元/m^2
"
[五至六环]昌平回南北路与科星西路交汇路口处,"
58500元/m^2
"
[五至六环]昌平北沙河高教园北二街与北沙河西三路交汇南,"
380万元/套起
"
[五至六环]昌平京藏高速北安河出口北行300米右转即到,"
58500元/m^2
"
[五至六环]昌平北七家定泗路88号,"
5000万元/套起
"
[五至六环]昌平北亚花园东路,"
800万元/套
"
[五至六环]昌平地铁8号线或13号线霍营站北侧300米,"
61000元/m^2
"
[五至六环]昌平立汤路与北清路交叉点向东800米,"
430万元/套起
"
[五至六环]昌平立汤路与北清路交汇·向东800米,"
399万元/套起
"
"[六环以外]昌平小汤山疗养院东侧,紧邻立汤路,距离北六环61号出口约2000米","
2100万元/套起
"
[六环以外]昌平马池口镇百葛路366号,"
34000元/m^2
"
[五至六环]昌平未来科学城南区,"
59000元/m^2
"
[五至六环]昌平地铁8号线与昌平线枢纽站朱辛庄站东侧约50米,"
50000元/m^2
"
"[五至六环]昌平回龙观东侧,霍营","
53000元/m^2起
"
[六环以外]昌平新城地铁南邵站南20米,"
1400万元/套起
"
"[五至六环]昌平北五环京承高速07出口西,七星路与七北路交汇","
1000万元/套起
"
[六环以外]昌平水库路16号院,"
46000元/m^2起
"
[五至六环]昌平西北五环外沙河地铁站向南800米处丽春湖北岸,"
1000万元/套起
"
"[五至六环]昌平北五环外紧邻立汤路,北七家建材城向北第一个路口200米路东","
2500万元/套起
"
"[六环以外]昌平京藏高速30(昌平城区)出口向东,南环大桥东侧1000米","
46800元/m^2
"
[五至六环]昌平新城地铁南邵站西侧,"
50000元/m^2
"
[五至六环]昌平地铁昌平线沙河地铁站南600米,"
660万元/套起
"
[六环以外]昌平中兴路17号,"
36000元/m^2起
"
[六环以外]昌平阳坊镇温南路与阳八路交汇处,"
价格待定
"
"[五至六环]昌平北七家,立汤路定泗路口向西两公里","
2500万元/套起
"
[五至六环]昌平南区(京承高速北七家出口800米路南),"
60800元/m^2
"
[五至六环]昌平未来科学城英才南一街与鲁疃西路交汇处,"
45000元/m^2
"
"[五至六环]昌平定泗路,京承高速北七家出口以西1000米","
2800万元/套起
"
[五至六环]昌平京藏高速北安河出口向东约5公里,"
1643万元/套起
"
[五至六环]昌平沙河高教园北四街,"
25000元/m^2起
"
[五至六环]昌平未来科技城南区内科技城路与南区一路交界处,"
57000元/m^2
"
[五至六环]昌平地铁13号线霍营站出口科星西路北行约300米路西,"
30000元/m^2
"
[六环以外]昌平顺沙路68号,"
2800万元/套起
"
"[六环以外]昌平小汤山镇,龙脉温泉花园(人民政府北面)","
38000元/m^2
"
[五至六环]昌平未来科学城路与未来科学城滨河大道交汇口,"
36000元/m^2
"
