具体位置,房价
"[五至六环]朝阳望京核心区,地铁14号线善各庄站","
78148元/m^2
"
[三至四环]朝阳北土城东路北京书院,"
111797.62元/m^2
"
[五至六环]朝阳驹子房村,"
37000元/m^2
"
[五至六环]朝阳东坝路与单店西路交叉口北行100米,"
85000元/m^2
"
[四至五环]朝阳将台乡驼房营村,"
98000元/m^2
"
[三至四环]朝阳农展馆北路8号,"
170000元/m^2
"
[五至六环]朝阳地铁15号线孙河站向西800米(北京院子一期南侧),"
1150万元/套起
"
[二至三环]朝阳通惠河北路69号院(朝阳建国门桥东南1000米),"
100798元/m^2
"
[五至六环]朝阳黄康路北侧,"
600万元/套起
"
[三至四环]朝阳肖村路西行400米见丁字路口向北150米,"
650万元/套起
"
[五至六环]朝阳东坝第四使馆区东五环七棵树出口向东3公里,"
79500元/m^2
"
[五至六环]朝阳朝阳北路黄渠地铁站a口西侧,"
88000元/m^2
"
[三至四环]朝阳霄云路8号,"
5500万元/套起
"
[三至四环]朝阳东三环cctv北50米,"
6000万元/套起
"
[五至六环]朝阳京密路与顺黄路交叉路口西南方向1000米,"
68924元/m^2
"
[五至六环]朝阳京密路与顺黄路交叉路口往西200米,"
4000万元/套起
"
[四至五环]朝阳东四环中路58号,"
价格待定
"
[五至六环]朝阳孙河,"
4900万元/套起
"
[五至六环]朝阳京密路与顺黄路交汇处西南方向800米,"
68924元/m^2
"
[五至六环]朝阳京密路与京平辅路交叉口西行1.5公里,"
1500万元/套起
"
[四至五环]朝阳红坊路6号,"
价格待定往期72000元/m^2
"
[五至六环]朝阳五环七棵树出口北行300米,"
1600万元/套起
"
[三至四环]朝阳朝阳公园南门棕榈泉西侧,"
140000元/m^2
"
[四至五环]朝阳望京街10号,"
85000元/m^2
"
[三至四环]朝阳霄云路缦合·北京,"
价格待定
"
[三至四环]朝阳国贸桥东南角建国路乙108号,"
150000元/m^2
"
[五至六环]朝阳东坝七棵树以北、坝河以南,"
110000元/m^2
"
[五至六环]朝阳东坝中街与东坝中路交汇处,"
85000元/m^2
"
[五至六环]朝阳京密路与京平辅路交叉口西行1000米,"
86000元/m^2
"
[二至三环]朝阳工体北路9号,"
130000元/m^2
"
[四至五环]朝阳望京南湖南路三帆中学对面,"
120000元/m^2
"
[四至五环]朝阳东四环北路七号,"
160000元/m^2
"
[五至六环]朝阳东五环七棵树路口向东280米,"
2680万元/套起
"
[五至六环]朝阳6号线塔连坡站东200米,"
76000元/m^2
"
[四至五环]朝阳将台西路10号,"
价格待定
"
[四至五环]朝阳东四环与京沈高速交汇处东北角,"
价格待定
"
[三至四环]朝阳西大望路24号,"
110000元/m^2
"
"[五至六环]朝阳五元桥东南角,中国电影博物馆东北角","
2950万元/套起
"
[五至六环]朝阳双园路19号院,"
420万元/套起
"
[四至五环]朝阳大屯路222号院,"
125000元/m^2
"
[四至五环]朝阳青年路7号院,"
100000元/m^2
"
[三至四环]朝阳霄云里南街霞光里12号,"
150000元/m^2
"
[四至五环]朝阳阜通东大街(保利万和影院北100米)大望京3号地块,"
95000元/m^2起
"
[四至五环]朝阳青年路12号院小悦中心,"
55000元/m^2
"
[二至三环]朝阳通惠河北路69号院,"
价格待定
"
