具体位置,房价
[五至六环]海淀清河小营桥东700米,"
82600元/m^2
"
[五至六环]海淀温泉镇太舟坞,"
53000元/m^2
"
[五至六环]海淀永丰产业基地西北旺镇,"
35000元/m^2
"
[五至六环]海淀四季青桥向西1.8公里(第四个红绿灯右转)向北500米路右侧,"
105000元/m^2
"
"[四至五环]海淀永丰路与北清路交汇处东北角,中关村壹号北侧公园中","
80000元/m^2
"
[五至六环]海淀北清路屯佃地铁站向南约2千米,"
48500元/m^2起
"
[三至四环]海淀西钓鱼台嘉园北门东侧200米,"
117500元/m^2
"
[四至五环]海淀金沟河路16号,"
85000元/m^2
"
[五至六环]海淀北清路永丰产业基地东侧,"
74000元/m^2
"
[五至六环]海淀翠湖科技园东南侧,"
53000元/m^2
"
[五至六环]海淀八达岭高速清河桥西南角,"
74500元/m^2
"
[五至六环]海淀北清路与永澄北路交汇处北1000米处,"
15000元/套.月起
"
[四至五环]海淀阜石路与上庄大街交汇处东南200米,"
78900元/m^2
"
[五至六环]海淀南沙河西路上庄大桥南口向西800米,"
4000万元/套起
"
[四至五环]海淀田村路39号院,"
				新房已售完
				请查看二手房源
"
[二至三环]海淀高梁桥斜街42号,"
85000元/m^2
"
"[四至五环]海淀田村路与田村东路交汇口往西300米,田村路北侧","
价格待定
"
[五至六环]海淀西北旺镇永丰路百旺公园东侧,"
29800元/m^2
"
[五至六环]海淀温泉镇北清路和温阳路西南角,"
43000元/m^2
"
[五至六环]海淀北清路与稻香湖路十字路口西南角,"
价格待定
"
"[五至六环]海淀温泉镇,京密引水渠南侧","
				新房已售完
				请查看二手房源
"
