具体位置,房价
[五至六环]通州宋庄镇荷香2号院首开香溪郡售楼处,"
42000元/m^2
"
[五至六环]通州通胡大街与桦秀路交叉口南行200米,"
价格待定
"
[六环以外]通州京哈高速郎府出口南侧约300米,"
价格待定
"
[五至六环]通州东五环化工桥向东京津高速第一出口通马路向南约500米,"
51585元/m^2
"
"[五至六环]通州长安街东延长线—新华大街向北500米,通惠北路东","
68500元/m^2
"
"[五至六环]通州玉桥西路与运河西大街交汇处,通州区青少年活动中心北侧","
67000元/m^2起
"
[五至六环]通州运河cbd核心区6号线北运河西站(京杭大运河西岸),"
40000元/m^2起
"
[五至六环]通州环渤海总部基地北侧,"
51585元/m^2
"
[六环以外]通州永乐店小甸屯村百莱玛工业园对面,"
28100元/m^2
"
[五至六环]通州新华大街与东关大道交叉口路北700米,"
1500万元/套
"
[五至六环]通州永顺镇榆东一街,"
45000元/m^2
"
[五至六环]通州永顺镇潞苑东路西侧,"
27000元/m^2
"
"[四至五环]通州北苑地铁站东500米,通州万达广场南侧300米","
价格待定
"
[五至六环]通州地铁亦庄线经海路地铁站东南侧三公里,"
35000元/m^2
"
[五至六环]通州永顺镇tz-0104-6002等地块位,"
价格待定
"
"[五至六环]通州京杭大运河与通胡大街交汇东北角,运河文化广场公园东侧","
2300万元/套起
"
[五至六环]通州朝阳北路延长线北侧,"
1300万元/套起
"
[五至六环]通州通州运河核心区,"
60000元/m^2
"
[五至六环]通州宋庄镇格拉斯小镇营销中心,"
1300万元/套起
"
[六环以外]通州于家务乡京津高速与通房路交叉口,"
249万元/套
"
[五至六环]通州东五环京津高速东石村桥东南700米(京津高速第一出口500米),"
价格待定往期1100万元/套
"
"[五至六环]通州核心区,地铁6号线通州北关站北侧","
65000元/m^2
"
[五至六环]通州京通快速北关桥东南角,"
181万元/套起
"
[五至六环]通州京通高速耿庄出口向北500米。,"
32000元/m^2起
"
[五至六环]通州梨园南街和临河里路交汇处,"
54000元/m^2起
"
[五至六环]通州东五环化工桥向东京津高速第一出口通马路向南500米,"
30000元/m^2
"
[五至六环]通州怡乐中路299号院,"
640万元/套起
"
[六环以外]通州中关村科技园区马驹桥1号桥南500米,"
24000元/m^2起
"
[五至六环]通州潞苑东路与潞苑四街交汇处东南角,"
47000元/m^2
"
[五至六环]通州芙蓉东路1号(通燕高速通州新城出口路南),"
72000元/m^2
"
[六环以外]通州光机电产业基地核心区兴光三街9号院,"
46000元/m^2起
"
[五至六环]通州台湖镇辅外路(北京国际图书城北侧),"
35000元/m^2
"
"[五至六环]通州运河西大街,果园环岛向东两公里","
75000元/m^2
"
[五至六环]通州滨惠北一街,"
60000元/m^2
"
[五至六环]通州首都机场向南8公里窑管路,"
1100万元/套起
"
[五至六环]通州通燕高速耿庄桥出口西北侧,"
1800万元/套起
"
[五至六环]通州海盛四街,"
960万元/套起
"
[五至六环]通州光机电一体化产业园区科创东二街5号,"
28000元/m^2
"
[五至六环]通州朝阳北路东端与温榆河交汇处(北京物资学院北侧),"
48000元/m^2
"
[五至六环]通州朝阳北路与温榆河西路交汇路口北2公里金融街园中园,"
36000元/m^2
"
"[五至六环]通州城市副中心核心区,五河交汇大运河燃灯塔东侧、大光楼西侧","
82000元/m^2
"
[五至六环]通州通顺路与朝阳北路交叉口东北角,"
38000元/m^2
"
[五至六环]通州城市副中心运河cbd核心区滨河中路北段西侧,"
65000元/m^2
"
[五至六环]通州砖厂南里46号,"
55000元/m^2
"
