具体位置,房价
[五至六环]顺义后沙峪火沙路与裕庆路交汇口北200米(金地世家广场西),"
55711元/m^2
"
[五至六环]顺义后沙峪中央别墅区,"
62102元/m^2
"
[六环以外]顺义马坡镇白马路与坤安路交叉口南1000米,"
43467元/m^2
"
[五至六环]顺义京承高速8号出口路东,"
55711元/m^2
"
[五至六环]顺义中央别墅区后沙峪,"
55583元/m^2
"
[六环以外]顺义京承高速未来科学城出口向北2公里,"
价格待定
"
[六环以外]顺义燕京街与通顺路交汇口东800米(仁和公园南),"
1000万元/套起
"
[六环以外]顺义京承高速11出口(昌金路\兴寿\牛栏山出口)向东900米路北,"
1400万元/套起
"
[五至六环]顺义京承高速8号出口路东,"
1888万元/套起
"
[六环以外]顺义石园北区东北角,"
823万元/套起
"
[五至六环]顺义京承高速6出口(中央别墅区)罗马环岛北800米,"
475万元/套起
"
[五至六环]顺义机场高速杨林出口西行约800米,"
13000万元/套起
"
[五至六环]顺义临空经济核心区南法信地铁站南约700米,"
120万元/套起
"
[六环以外]顺义昌金路与通顺路交汇处合景天汇广场,"
37000元/m^2起
"
[五至六环]顺义京承高速8号出口路东,"
1000万元/套起
"
[六环以外]顺义新城右堤路与昌金路交汇处向北200米,"
40500元/m^2
"
[六环以外]顺义张镇张各庄村,"
27000元/m^2起
"
[六环以外]顺义中央别墅区北区京承高速第11出口,"
36000元/m^2
"
[五至六环]顺义后沙峪枯柳树环岛西100米国门一号西侧,"
36000元/m^2
"
[五至六环]顺义后沙峪镇温榆河别墅区21号地,"
69500元/m^2
"
[六环以外]顺义天竺镇薛大人庄村,"
65000元/m^2
"
[五至六环]顺义京承高速8出口路东,"
4900万元/套起
"
[五至六环]顺义临空经济核心区南法信地铁站南300米,"
150万元/套
"
[六环以外]顺义顺恒大街香悦四季西区5号楼,"
40000元/m^2
"
[六环以外]顺义白马路与通顺路交叉口西南角,"
价格待定
"
[六环以外]顺义顺义区天竺镇第22街区,"
				新房已售完
				请查看二手房源
"
[六环以外]顺义双河大街与顺南路西北角,"
80万元/套起
"
[六环以外]顺义京承高速第11出口向东1000米路北,"
10000万元/套
"
[六环以外]顺义顺恒大街东段北侧,"
1500万元/套
"
[五至六环]顺义后沙峪镇裕园路西300米,"
2200万元/套起
"
[六环以外]顺义天竺中央别墅区内林荫路与花园西街交汇处,"
59500元/m^2
"
[五至六环]顺义南法信镇顺平路与南焦路交口处,"
18000元/m^2
"
[六环以外]顺义顺福路2号(顺福路与顺平路交叉口东南角),"
2300万元/套起
"
[五至六环]顺义京承高速8号出口路东,"
700万元/套起
"
[五至六环]顺义后沙峪镇峪东路9号,"
2700万元/套起
"
[六环以外]顺义牛栏山昌金路与右堤路交汇处向南200米路西,"
720万元/套起
"
[六环以外]顺义牛栏山恒华西街2号院,"
41000元/m^2起
"
[六环以外]顺义新城马坡组团金宝花园酒店北侧,"
800万元/套起
"
[六环以外]顺义顺兴街11号院望尊园,"
43000元/m^2
"
[六环以外]顺义站前街1号,"
30000元/m^2
"
[六环以外]顺义新城马坡组团白马路与通顺路交叉口向北700米,"
800万元/套起
"
"[六环以外]顺义林河经济开发区,通顺路与外环线交汇处东北角","
50000元/m^2
"
