µ¥´Ê,´ÊÆµ
mother,82
roger,68
diane,60
jackie,58
inspector,55
money,48
molly,46
walsh,42
house,34
looked,33
albert,31
clarkson,29
angry,29
don,29
briggs,22
talk,20
didn,20
tom,20
night,20
garden,19
door,19
tablets,19
peter,19
sergeant,19
kitchen,17
coffee,16
foster,16
sat,15
stood,15
hot,14
table,14
kill,14
loved,14
police,14
dogs,13
hobbs,13
suddenly,13
dead,13
told,13
lot,12
job,12
bed,12
dr,12
pratt,12
sleeping,12
milk,12
family,11
expensive,11
eyes,11
minute,11
time,11
true,11
phone,10
bag,10
car,10
stopped,10
happy,10
upstairs,10
quiet,10
bottle,10
morning,9
farm,9
empty,9
love,8
village,8
beautiful,8
black,8
hands,8
slowly,8
watched,8
questions,8
month,8
killed,8
chapter,7
half,7
thursday,7
day,7
cigarette,7
sister,7
office,7
window,7
uncle,7
red,7
quietly,7
cup,7
downstairs,7
woman,6
sandwiches,6
understand,6
front,6
white,6
hair,6
doesn,6
laughed,6
ill,6
afraid,6
left,6
daddy,6
wore,5
doctor,5
hat,5
wait,5
lost,5
dress,5
feet,5
dinner,5
girl,5
annie,5
smiled,5
die,5
cried,5
head,5
cry,5
hand,5
carefully,5
hungry,5
cambridge,4
tall,4
drink,4
wrong,4
smoke,4
dark,4
clock,4
smile,4
nice,4
called,4
difficult,4
wine,4
father,4
dirty,4
walked,4
moved,4
finished,4
died,4
move,4
rich,4
detectives,4
talked,4
waited,4
coat,4
king,4
tennis,4
remember,4
listen,4
accident,4
lived,3
mile,3
river,3
weekend,3
train,3
ticket,3
call,3
closed,3
letter,3
saturday,3
drove,3
husband,3
fifty,3
blue,3
road,3
worse,3
nurse,3
loves,3
tomorrow,3
talking,3
matter,3
cold,3
drank,3
meet,3
land,3
telephone,3
green,3
angrily,3
sitting,3
wife,3
happened,3
tired,3
shop,3
sell,3
wrote,3
brother,3
gardener,3
clarksons,3
picture,3
story,3
nearest,2
flowers,2
trees,2
fat,2
thirty,2
warm,2
brown,2
shirt,2
isn,2
phoning,2
phoned,2
write,2
answer,2
evening,2
late,2
wonderful,2
eating,2
remembered,2
america,2
bad,2
teeth,2
excuse,2
cigarettes,2
mouth,2
careful,2
feel,2
mothershe,2
winter,2
hit,2
forget,2
stay,2
coming,2
arrived,2
body,2
wasn,2
windows,2
question,2
club,2
lives,2
hear,2
midnight,2
change,2
listened,2
friend,2
easy,2
likes,2
sandwich,2
television,2
happen,2
ago,2
calls,2
country,1
july,1
hottest,1
skirt,1
yellow,1
water,1
rang,1
telephoning,1
coldly,1
twenty,1
london,1
singer,1
sang,1
heads,1
afternoon,1
ready,1
seventeen,1
dear,1
tonight,1
son,1
child,1
week,1
eat,1
aunt,1
stays,1
twentyfour,1
hours,1
feels,1
unhappy,1
visit,1
visiting,1
wednesday,1
cheap,1
helps,1
quick,1
meat,1
free,1
brought,1
arm,1
easier,1
meangry,1
summer,1
sky,1
dianei,1
answers,1
cameras,1
smoked,1
detective,1
suit,1
chairs,1
played,1
sunday,1
mornings,1
players,1
anniemolly,1
sisteris,1
nothere,1
noises,1
heard,1
heor,1
shewent,1
learning,1
tablet,1
bicycle,1
slept,1
dogsshe,1
warmly,1
build,1
ten,1
houses,1
pencil,1
goodnight,1
pockets,1
officeyou,1
friends,1
sun,1
play,1
fast,1
exciting,1
player,1
redder,1
smiling,1
broke,1
christmas,1
tree,1
age,1
boy,1
caran,1
trousers,1
orange,1
noise,1
trouble,1
unhappyshe,1
bicyclethis,1
finish,1
books,1
chair,1
losing,1
monday,1
telephoned,1
selling,1
visited,1
motherwhat,1
meno,1
sisters,1
rain,1
sit,1
picturean,1
onein,1
