µ¥´Ê,´ÊÆµ
james,43
queen,38
don,37
mary,34
darnley,28
friends,28
lord,27
afraid,25
son,24
people,24
riccio,24
bothwell,24
king,22
father,22
husband,22
kill,20
elizabeth,19
castle,18
scotland,18
god,18
england,17
day,17
looked,17
died,17
moray,17
scots,16
angry,16
henry,16
rode,16
night,15
david,15
lady,13
killed,13
edinburgh,13
army,13
wrote,12
majesty,12
prison,12
dead,12
die,12
write,11
lords,11
church,11
story,10
france,10
stood,10
lot,10
unhappy,10
catholic,10
didn,10
woman,10
earl,10
strong,10
true,9
happy,9
sang,9
love,9
talk,9
fight,9
bess,8
tired,8
letter,8
life,8
ill,8
house,8
protestant,8
talked,8
letters,8
laughed,8
town,8
blood,8
quietly,7
mother,7
time,7
marry,7
walked,7
understand,7
black,7
friend,7
wrong,7
ruthven,7
boy,7
poor,7
english,6
slowly,6
baby,6
stayed,6
slept,6
enemies,6
born,6
child,6
wife,6
arms,6
dress,6
morning,6
veil,6
executioner,6
sat,5
beautiful,5
twenty,5
lies,5
eyes,5
smiled,5
country,5
catholics,5
clothes,5
difficult,5
evening,5
dark,5
door,5
sleep,5
clock,5
kirk,5
field,5
downstairs,5
window,4
horses,4
road,4
hands,4
doesn,4
hates,4
remember,4
white,4
loved,4
angrily,4
leave,4
women,4
rule,4
dudley,4
tall,4
weeks,4
sit,4
drank,4
inside,4
helped,4
red,4
wicked,4
minutes,4
stupid,4
floor,4
cry,4
waited,4
wedding,4
heard,4
head,4
fotheringhay,3
week,3
cold,3
dog,3
watched,3
free,3
married,3
front,3
forget,3
minute,3
lie,3
pen,3
meet,3
francis,3
streets,3
sunday,3
tooi,3
pray,3
stories,3
danced,3
fell,3
stairs,3
friendly,3
pregnant,3
clever,3
hard,3
move,3
knife,3
hand,3
bad,3
held,3
screamed,3
quiet,3
smile,3
listen,3
dunbar,3
met,3
killers,3
times,3
stole,3
forgive,3
prayed,3
petticoat,3
axe,3
curle,2
january,2
north,2
couldn,2
london,2
unhappily,2
queens,2
ten,2
bring,2
lived,2
wasn,2
arrived,2
girl,2
eighteen,2
sea,2
pleased,2
change,2
shouted,2
hate,2
protestants,2
called,2
knox,2
famous,2
churchman,2
daughter,2
cried,2
himhe,2
robert,2
suddenly,2
lover,2
dancing,2
halfbrother,2
south,2
stopped,2
read,2
teach,2
ride,2
sings,2
listened,2
death,2
eat,2
hot,2
moved,2
send,2
yesterday,2
june,2
glasgow,2
february,2
bed,2
forgot,2
horse,2
ladies,2
news,2
garden,2
doors,2
europe,2
believed,2
wait,2
flag,2
picture,2
lochleven,2
douglas,2
william,2
understands,2
englishmen,2
block,2
ago,1
houses,1
river,1
trees,1
happened,1
itqueens,1
husbands,1
peoplegood,1
catnolic,1
spainsay,1
children,1
months,1
buthe,1
fore,1
untrue,1
perhapsperhaps,1
fatheri,1
hears,1
happen,1
dear,1
truei,1
impor,1
tant,1
french,1
brother,1
bur,1
sixteen,1
ship,1
hope,1
scottish,1
queenno,1
tells,1
churches,1
john,1
hated,1
quietlyhe,1
books,1
spain,1
carlos,1
family,1
meetinga,1
meeting,1
sister,1
countries,1
leicester,1
friendshe,1
accidentshe,1
writes,1
friendher,1
nineteen,1
twentythree,1
green,1
wore,1
expensive,1
cousinshis,1
grandfather,1
greatgrandfather,1
vii,1
july,1
marriage,1
laughter,1
hundreds,1
days,1
drink,1
swim,1
fights,1
alive,1
italian,1
evenings,1
laughs,1
dances,1
lordit,1
scotsman,1
meso,1
workhe,1
saturday,1
march,1
dinner,1
table,1
warm,1
hungry,1
chair,1
round,1
af,1
stays,1
hold,1
touch,1
knives,1
hit,1
pulled,1
queenplease,1
taaaaaargh,1
hear,1
screams,1
manwhy,1
marynot,1
drinking,1
nice,1
laugh,1
matter,1
crying,1
theythey,1
queenthey,1
ii,1
herei,1
anythinglie,1
tonight,1
faster,1
slow,1
bours,1
rain,1
summer,1
ruled,1
sonisn,1
bothwella,1
fighter,1
stay,1
upstairs,1
visited,1
arm,1
singing,1
tonighteveryone,1
remembered,1
jesus,1
dirty,1
itnothing,1
sudden,1
noisea,1
bang,1
outsidethey,1
hour,1
buthow,1
bangthat,1
wearing,1
himnow,1
nowno,1
walls,1
windowsnothing,1
changed,1
sold,1
horrible,1
pictures,1
spring,1
onth,1
april,1
miles,1
excited,1
divorce,1
carberry,1
hill,1
armies,1
theirslet,1
kirkcaldy,1
sleeps,1
killer,1
childrenthere,1
babieswer,1
babies,1
lindsay,1
kingdom,1
denmark,1
prisoner,1
shut,1
langside,1
lost,1
stronger,1
jamesit,1
mine,1
twentyfive,1
fortyfive,1
prisons,1
told,1
enemy,1
lied,1
bcause,1
helpi,1
scotand,1
freedon,1
answer,1
live,1
writing,1
afternoon,1
englishman,1
shrewsbury,1
tomorrow,1
half,1
dressed,1
feet,1
walk,1
lifted,1
headher,1
heada,1
bloodblood,1
shoes,1
bloody,1
finishes,1
