µ¥´Ê,´ÊÆµ
kiah,81
rilla,72
commander,72
zadak,64
gog,54
earth,43
adai,39
seru,37
guards,35
aol,31
looked,30
captain,27
guard,26
moon,23
bel,23
talk,20
prison,18
stood,15
waited,15
taxi,15
quietly,14
don,14
eyes,13
door,13
rain,13
plane,12
train,12
people,12
money,12
mars,12
dead,12
om,11
front,11
didn,11
smiled,11
morning,11
gate,11
ship,10
suddenly,10
white,10
colony,10
kill,10
brother,10
fires,10
walked,9
australia,9
cat,9
spaceship,9
stopped,8
dark,8
sat,8
ago,8
wait,8
office,8
road,8
cried,8
jumped,8
move,7
black,7
hair,7
angry,7
left,7
clock,7
kisangani,7
floor,7
forest,7
shot,7
leave,7
europe,6
table,6
satellite,6
red,6
phone,6
airport,6
driver,6
talked,6
shouted,6
lot,6
told,6
doesn,6
talking,6
expensive,6
prisoners,6
beautiful,5
holes,5
tall,5
understand,5
quiet,5
phoned,5
yesterday,5
blue,5
guns,5
die,5
half,5
listen,5
planet,5
isn,5
ready,5
moved,4
dinner,4
answered,4
breaking,4
tired,4
window,4
cold,4
visit,4
father,4
ten,4
minutes,4
happened,4
hand,4
tomorrow,4
house,4
hear,4
destroy,4
afraid,4
windows,4
excuse,4
angrily,4
building,4
midnight,4
watched,3
time,3
wrong,3
book,3
called,3
fat,3
drink,3
sky,3
carefully,3
hands,3
slowly,3
downstairs,3
famous,3
friend,3
marched,3
carried,3
drove,3
hit,3
difficult,3
twelve,3
chairs,3
television,3
friends,3
heard,3
goodbye,3
matter,3
africa,3
cry,3
killed,3
shoot,3
coffee,3
happy,3
kilometres,2
north,2
changed,2
happening,2
woman,2
dying,2
evening,2
worse,2
brazil,2
hungry,2
space,2
finished,2
sydney,2
fourthirty,2
hot,2
feel,2
fast,2
bring,2
arrived,2
smile,2
trees,2
pocket,2
day,2
luck,2
doors,2
green,2
flowers,2
tables,2
laugh,2
chair,2
tonight,2
slept,2
arrives,2
listens,2
afternoon,2
minute,2
careful,2
gun,2
fell,2
crazy,2
ill,2
sad,2
bad,2
sandwiches,2
eat,2
night,2
moving,2
burning,2
stay,2
warmly,2
town,2
smoke,2
computer,1
watch,1
girl,1
twenty,1
write,1
changing,1
bigger,1
metres,1
late,1
sit,1
pockets,1
died,1
remember,1
answer,1
speaking,1
weather,1
antarctic,1
drinking,1
return,1
week,1
friday,1
weeks,1
aeroplane,1
call,1
thirsty,1
leaving,1
sitting,1
tree,1
faster,1
nearer,1
listening,1
picture,1
helping,1
winter,1
water,1
walk,1
drive,1
river,1
letters,1
earlier,1
yougog,1
carefuland,1
wife,1
wore,1
dress,1
body,1
numhers,1
yellow,1
aoland,1
coldly,1
pictures,1
richest,1
worst,1
computers,1
telephones,1
understands,1
children,1
story,1
moneymoney,1
satellitekiah,1
biggest,1
hotel,1
womanfrom,1
omin,1
bulding,1
letter,1
beds,1
laughed,1
thinking,1
listened,1
easy,1
closed,1
deadafter,1
upstairs,1
happier,1
meet,1
rillasaid,1
questions,1
lost,1
burn,1
returned,1
happen,1
family,1
watching,1
sandwich,1
coming,1
tiredly,1
afraidafraid,1
peoplesome,1
guardsdidn,1
eleven,1
noise,1
waiting,1
brown,1
nice,1
arrive,1
west,1
nowit,1
south,1
destroying,1
arm,1
sadly,1
wonderful,1
country,1
rivers,1
forests,1
buildingsand,1
