µ¥´Ê,´ÊÆµ
,
nowell,56
,
mother,50
,
alizon,46
,
james,41
,
witch,31
,
dog,28
,
looked,26
,
child,24
,
day,22
,
read,22
,
judge,21
,
hill,20
,
hall,20
,
lancaster,19
,
guards,19
,
door,19
,
didn,19
,
told,19
,
cold,18
,
device,18
,
called,18
,
family,18
,
castle,17
,
jennet,17
,
truth,16
,
angry,16
,
law,16
,
hungry,15
,
floor,15
,
malkin,15
,
tower,15
,
sat,15
,
john,15
,
afraid,15
,
demdike,15
,
prison,14
,
father,14
,
people,14
,
pendle,13
,
eyes,13
,
don,13
,
house,13
,
bread,12
,
slowly,12
,
webster,12
,
robinson,12
,
village,12
,
grandmother,12
,
roger,12
,
pedlar,11
,
quietly,11
,
died,11
,
talk,11
,
dead,11
,
kill,11
,
hair,10
,
cry,10
,
rich,10
,
villagers,10
,
fire,10
,
money,10
,
shouted,10
,
food,10
,
killed,10
,
dirty,9
,
dark,9
,
warm,9
,
suddenly,9
,
happy,9
,
lies,9
,
witches,9
,
ill,9
,
brother,9
,
walked,9
,
cried,9
,
front,9
,
clay,9
,
guard,8
,
sister,8
,
cursed,8
,
woman,8
,
servant,8
,
stood,8
,
friends,8
,
bromley,8
,
women,7
,
sit,7
,
brought,7
,
edmund,7
,
story,7
,
bad,7
,
red,7
,
barley,7
,
hated,7
,
beautiful,6
,
brown,6
,
church,6
,
angrily,6
,
minute,6
,
eat,6
,
table,6
,
stopped,6
,
care,6
,
laughed,6
,
pictures,6
,
talked,6
,
pulled,6
,
dandy,6
,
daughter,6
,
tired,5
,
newchurch,5
,
watched,5
,
life,5
,
mouth,5
,
head,5
,
lot,5
,
hit,5
,
move,5
,
son,5
,
hot,5
,
friend,5
,
devil,5
,
horse,5
,
drink,5
,
bring,5
,
duckworth,5
,
TRUE,4
,
london,4
,
time,4
,
god,4
,
shirt,4
,
miles,4
,
rain,4
,
shoes,4
,
teeth,4
,
colne,4
,
met,4
,
fat,4
,
call,4
,
road,4
,
die,4
,
stay,4
,
dress,4
,
ago,4
,
quiet,4
,
ashlar,4
,
sabden,4
,
noise,4
,
jack,4
,
august,4
,
spring,3
,
twenty,3
,
close,3
,
wait,3
,
sky,3
,
walk,3
,
tall,3
,
blue,3
,
ten,3
,
week,3
,
question,3
,
stand,3
,
children,3
,
poor,3
,
summer,3
,
lived,3
,
eighteenth,3
,
march,3
,
trees,3
,
white,3
,
coat,3
,
river,3
,
arrived,3
,
carried,3
,
difficult,3
,
black,3
,
expensive,3
,
curse,3
,
april,3
,
listened,3
,
shout,3
,
horses,3
,
days,3
,
hours,3
,
sheep,3
,
ate,3
,
broke,3
,
hate,3
,
ugly,3
,
waited,3
,
thin,3
,
ball,3
,
windows,2
,
feel,2
,
calls,2
,
hungrily,2
,
minutes,2
,
smiles,2
,
boy,2
,
believed,2
,
forget,2
,
crying,2
,
born,2
,
dogs,2
,
wore,2
,
answer,2
,
bag,2
,
hills,2
,
visited,2
,
villages,2
,
hat,2
,
laugh,2
,
girl,2
,
carefully,2
,
nearest,2
,
alive,2
,
lancashire,2
,
elizabeth,2
,
coats,2
,
voice,2
,
careful,2
,
fence,2
,
cat,2
,
break,2
,
stayed,2
,
drank,2
,
bottle,2
,
fell,2
,
left,2
,
brook,2
,
heard,2
,
lifted,2
,
finished,2
,
picture,2
,
smiled,2
,
hands,2
,
trial,2
,
clean,2
,
answered,2
,
tells,2
,
hanged,2
,
love,2
,
mebecause,2
,
arrives,1
,
stays,1
,
beds,1
,
chairs,1
,
sleep,1
,
water,1
,
quick,1
,
standing,1
,
kild,1
,
wick,1
,
legs,1
,
moving,1
,
meat,1
,
yesterday,1
,
tomorrow,1
,
stands,1
,
closes,1
,
lose,1
,
meeting,1
,
hoarstones,1
,
happened,1
,
poorer,1
,
winter,1
,
doors,1
,
west,1
,
loved,1
,
change,1
,
east,1
,
fast,1
,
eighteen,1
,
band,1
,
fifty,1
,
fatherhe,1
,
hand,1
,
fall,1
,
body,1
,
alog,1
,
houses,1
,
feet,1
,
sheshe,1
,
thirtieth,1
,
garden,1
,
wonderful,1
,
fable,1
,
window,1
,
dirtier,1
,
weeks,1
,
slow,1
,
months,1
,
thirteen,1
,
abut,1
,
loudly,1
,
coldly,1
,
takes,1
,
easily,1
,
questions,1
,
hats,1
,
tibb,1
,
visit,1
,
mea,1
,
catand,1
,
peopleman,1
,
dies,1
,
granddaughter,1
,
arms,1
,
isn,1
,
morning,1
,
happily,1
,
friday,1
,
tenth,1
,
helped,1
,
cooked,1
,
visitors,1
,
wasn,1
,
afternoon,1
,
ears,1
,
moved,1
,
milk,1
,
eating,1
,
book,1
,
listening,1
,
den,1
,
kindly,1
,
night,1
,
bodies,1
,
ground,1
,
shirts,1
,
doesn,1
,
matter,1
,
husband,1
,
ngain,1
,
learnt,1
,
twentyseventh,1
,
flowers,1
,
changed,1
,
thirty,1
,
noisy,1
,
town,1
,
witcha,1
,
motherout,1
,
telling,1
,
listen,1
,
hour,1
,
shouting,1
,
twentieth,1
,
lost,1
,
wear,1
,
wrong,1
,
twentyone,1
,
forgot,1
,
learned,1
,
cook,1
,
sunday,1
,
hear,1
,
voices,1
,
kildwick,1
,
visits,1
,
live,1
,
watch,1
,
changing,1
,
skies,1
,
twentytwo,1
,
watching,1
,
waiting,1
,
free,1
,
finish,1
