µ¥´Ê,´ÊÆµ
christine,73
raoul,72
opera,69
house,47
monsieur,39
ghost,33
voice,28
daa,26
giry,25
erik,25
box,24
armand,24
firmin,23
looked,22
madame,21
love,21
don,20
door,19
people,19
paris,18
persian,18
night,17
directors,16
carlotta,16
meg,15
la,15
afraid,14
black,14
tonight,14
angry,14
singer,14
time,13
mother,12
letter,12
chagny,12
quietly,11
stage,11
margarita,11
listen,11
angel,11
de,11
dressingroom,10
dead,10
sing,10
vicomte,10
whispered,10
lake,10
stairs,10
talk,9
woman,9
sang,9
unhappy,9
dark,9
white,8
cried,8
passage,8
girl,8
laughed,8
joseph,8
remember,8
flowers,8
talked,8
heard,8
happy,8
friend,8
music,8
hand,8
singing,8
shouted,8
hands,8
annie,7
girls,7
wall,7
front,7
buquet,7
suddenly,7
floor,7
beautiful,7
eyes,7
slowly,7
stared,7
secret,7
closed,6
days,6
evening,6
red,6
famous,6
ghosts,6
mad,6
hear,6
money,6
ill,6
comte,6
carefully,6
ugly,6
strange,6
lights,6
matter,5
ago,5
told,5
talking,5
day,5
true,5
brother,5
smiled,5
quiet,5
tired,5
phantom,5
tuesday,5
clever,5
gardens,5
kill,5
arms,5
didn,5
wife,5
stopped,5
happened,5
ropes,5
terrible,5
doors,5
passages,5
marry,5
kissed,5
dancers,4
sorelli,4
hair,4
head,4
spoke,4
doesn,4
hour,4
killed,4
story,4
francs,4
bad,4
enemy,4
faust,4
philippe,4
speak,4
leave,4
moved,4
forget,4
waited,4
answer,4
morning,4
friday,4
free,4
accidents,4
watch,4
weeks,4
minute,4
arm,4
chandelier,4
saturday,4
mirror,4
mirrors,4
quick,3
tall,3
coat,3
yellow,3
holes,3
tickets,3
dress,3
ingroom,3
body,3
neck,3
ar,3
office,3
joke,3
called,3
chris,3
tine,3
teacher,3
wonderful,3
understand,3
brittany,3
stood,3
walked,3
ten,3
wednesday,3
mon,3
sieur,3
life,3
arrived,3
dangerous,3
happen,3
meet,3
clock,3
feel,3
poor,3
shh,3
listened,3
sat,3
cold,3
song,3
top,3
dressing,3
mask,3
questions,3
rivers,3
danced,3
hotter,3
thirsty,3
dying,3
live,3
close,2
pooh,2
nose,2
fool,2
dear,2
word,2
watches,2
leaves,2
wrong,2
hears,2
talks,2
rope,2
week,2
mand,2
accident,2
table,2
wasn,2
sell,2
keeper,2
month,2
eh,2
fools,2
carlot,2
ta,2
wait,2
noise,2
blue,2
family,2
twenty,2
father,2
families,2
minutes,2
lover,2
chairs,2
clothes,2
afternoon,2
toad,2
shout,2
answers,2
learnt,2
understood,2
vi,2
thursday,2
tuileries,2
die,2
norway,2
france,2
feet,2
loves,2
bed,2
drank,2
coffee,2
breakfast,2
tocoack,2
mycoack,2
laugh,2
bring,2
meeting,2
tenth,2
ev,2
scream,2
light,2
round,2
hat,2
kiss,2
unhappily,2
secrets,2
watched,2
screamed,2
move,2
torture,2
pictures,2
hot,2
water,2
alive,2
rivoli,2
lived,2
isn,1
shadow,1
lots,1
wears,1
eyesonly,1
ing,1
doorkeeper,1
boxes,1
operas,1
telling,1
stories,1
buys,1
nights,1
finished,1
fat,1
motherly,1
walks,1
fourth,1
workers,1
moncharmin,1
richard,1
direc,1
tors,1
bu,1
quet,1
angrily,1
sto,1
ry,1
read,1
writing,1
expensive,1
remem,1
ber,1
tirmin,1
spanish,1
cur,1
writes,1
morningshe,1
loved,1
ful,1
twentyone,1
smile,1
rich,1
visit,1
holiday,1
sea,1
met,1
iwas,1
mmm,1
portant,1
brothers,1
doctor,1
chair,1
doc,1
tor,1
mademoiselle,1
left,1
daahad,1
shadows,1
loverhis,1
everywhereunder,1
corners,1
margaritaeverything,1
themfrom,1
singshe,1
director,1
tiredly,1
helpful,1
houses,1
sit,1
acci,1
dents,1
ac,1
cidents,1
nearer,1
nice,1
bottom,1
gar,1
dens,1
pocket,1
half,1
remembered,1
write,1
died,1
ques,1
tion,1
sings,1
break,1
fast,1
ters,1
short,1
stay,1
hap,1
pen,1
lose,1
voicefor,1
finish,1
friends,1
dresses,1
voices,1
happier,1
times,1
noisecoack,1
bands,1
laughing,1
sand,1
broke,1
crashed,1
hurt,1
rived,1
hundreds,1
corner,1
quiety,1
erything,1
couldn,1
satuday,1
wore,1
throughmany,1
waters,1
boat,1
lives,1
everlove,1
cry,1
stayed,1
answered,1
al,1
lit,1
tle,1
phantoms,1
lot,1
likes,1
erybody,1
singers,1
police,1
daughter,1
missing,1
screami,1
thlnk,1
running,1
gry,1
ning,1
hole,1
careful,1
floors,1
pas,1
sages,1
noises,1
qui,1
etly,1
inside,1
roomthe,1
mirrorswalls,1
ceiling,1
trees,1
pic,1
tures,1
erok,1
ug,1
ly,1
himkissed,1
lovingly,1
mouth,1
mefreely,1
mee,1
visits,1
swers,1
window,1
real,1
born,1
persia,1
builder,1
himi,1
helped,1
build,1
built,1
underground,1
halfman,1
halfphantom,1
train,1
north,1
gether,1
mountains,1
