µ¥´Ê,´ÊÆµ
white,125
herbert,58
paw,47
monkey,31
answered,28
morris,28
son,25
money,25
cried,24
husband,22
tom,22
looked,21
soldier,20
hand,18
minute,17
bed,17
wife,16
stopped,16
don,16
sat,15
time,15
afraid,15
stranger,15
laughed,14
stood,14
family,13
suddenly,13
door,13
dark,11
father,11
india,11
quietly,11
mother,10
friend,10
stories,10
cold,9
livingroom,9
warm,9
noise,9
night,9
slowly,9
house,9
maw,9
meggins,9
nice,8
woman,8
waited,8
talk,8
wonderful,8
story,8
dead,8
answer,8
chapter,7
rain,7
watched,7
true,7
listen,7
coming,7
didn,7
strange,7
people,7
matter,7
window,7
machinery,7
quiet,6
heard,6
front,6
whisky,6
moved,6
wishes,6
died,6
cry,6
road,5
smiled,5
told,5
listened,5
talking,5
pocket,5
unhappy,5
wait,5
dinner,5
evening,5
thirty,5
pounds,5
move,5
morning,5
downstairs,5
happy,4
friends,4
lot,4
hear,4
finish,4
day,4
boy,4
remember,4
welldressed,4
called,4
sleep,4
bedroom,4
carefully,3
windows,3
clock,3
coat,3
sit,3
magic,3
laugh,3
accident,3
late,3
isn,3
goodbye,3
candle,3
breakfast,3
days,3
played,2
worse,2
bad,2
tonight,2
chair,2
pleased,2
meet,2
country,2
lose,2
dirty,2
indian,2
die,2
finished,2
car,2
brings,2
unhappiness,2
careful,2
hands,2
table,2
forgot,2
leave,2
exciting,2
wasn,2
happen,2
angry,2
happened,2
tired,2
left,2
winter,2
sun,2
shops,2
drank,2
factory,2
couldn,2
cemetery,2
sadly,2
quick,2
castle,1
chess,1
forty,1
born,1
doornow,1
redfaced,1
bottle,1
drink,1
visitor,1
twentyone,1
stay,1
carefullyand,1
saidand,1
carry,1
bring,1
happiness,1
teach,1
somethingit,1
change,1
thingsa,1
fast,1
difficulty,1
wished,1
child,1
rememberthis,1
difficult,1
mouth,1
questions,1
life,1
visit,1
midnight,1
talked,1
kitchen,1
weren,1
rich,1
everythingyou,1
thinking,1
haven,1
pay,1
pawit,1
floor,1
edbut,1
feel,1
smoked,1
bag,1
read,1
paws,1
postman,1
letter,1
happily,1
hungry,1
walked,1
post,1
arrived,1
brought,1
letters,1
thembut,1
eat,1
forget,1
angrily,1
strangervery,1
talland,1
eating,1
himhe,1
excited,1
bringing,1
tall,1
afternoon,1
question,1
facesand,1
gain,1
hospital,1
arm,1
round,1
machineryan,1
himand,1
loved,1
worker,1
miles,1
live,1
week,1
colder,1
cited,1
ve,1
onebut,1
mad,1
body,1
understand,1
touched,1
faceafter,1
wifeand,1
rememberhe,1
nearest,1
stayed,1
god,1
upstairs,1
closed,1
listenedand,1
quietand,1
