µ¥´Ê,´ÊÆµ
,
merrick,67
,
hospital,42
,
hand,30
,
people,29
,
looked,26
,
sir,21
,
happy,20
,
lot,18
,
books,17
,
london,16
,
day,16
,
left,16
,
creature,15
,
sat,14
,
joseph,14
,
cab,14
,
shop,13
,
picture,13
,
door,13
,
smiled,13
,
money,13
,
lady,13
,
dr,12
,
read,12
,
carefully,12
,
skin,12
,
beautiful,12
,
country,12
,
treves,11
,
difficult,11
,
queen,11
,
head,10
,
ill,10
,
wonderful,10
,
don,10
,
friends,10
,
talk,10
,
christmas,10
,
afraid,9
,
ugly,9
,
table,9
,
body,9
,
enormous,9
,
card,9
,
minute,9
,
letter,9
,
times,9
,
bed,9
,
talked,9
,
theatre,9
,
front,8
,
elephant,8
,
strange,8
,
chapter,7
,
angry,7
,
coat,7
,
mouth,7
,
dark,7
,
move,7
,
slowly,7
,
walked,7
,
silcock,7
,
morning,7
,
laughed,7
,
life,7
,
play,7
,
doctor,6
,
dirty,6
,
time,6
,
stood,6
,
women,6
,
legs,6
,
bad,6
,
stay,6
,
quiet,6
,
wrote,6
,
dear,6
,
nurses,6
,
live,6
,
friend,6
,
house,6
,
horrible,5
,
chair,5
,
dead,5
,
shopkeeper,5
,
smile,5
,
bags,5
,
police,5
,
week,5
,
boys,5
,
postman,5
,
steps,5
,
brought,5
,
told,5
,
mother,5
,
lighthouse,5
,
shook,5
,
night,5
,
half,5
,
majesty,5
,
flowers,5
,
stopped,4
,
pence,4
,
woman,4
,
quietly,4
,
cloth,4
,
laugh,4
,
arm,4
,
walk,4
,
hit,4
,
sit,4
,
hundreds,4
,
water,4
,
black,4
,
understand,4
,
helped,4
,
chairman,4
,
gomm,4
,
ago,4
,
readers,4
,
love,4
,
visit,4
,
alexandra,4
,
trees,4
,
sleep,4
,
angrily,3
,
cold,3
,
smell,3
,
flower,3
,
wore,3
,
neck,3
,
eyes,3
,
red,3
,
foot,3
,
stick,3
,
isn,3
,
england,3
,
er,3
,
lots,3
,
road,3
,
prison,3
,
clock,3
,
waited,3
,
hat,3
,
box,3
,
arms,3
,
understood,3
,
called,3
,
voice,3
,
listened,3
,
nurse,3
,
editor,3
,
december,3
,
lived,3
,
belgium,3
,
train,3
,
carr,3
,
visited,3
,
newspapers,3
,
food,3
,
couldn,3
,
visitor,3
,
met,3
,
cried,3
,
hour,3
,
visitors,3
,
story,3
,
sing,3
,
noise,3
,
child,3
,
summer,3
,
stayed,3
,
birds,3
,
stream,3
,
frederick,2
,
window,2
,
writing,2
,
cigarette,2
,
yellow,2
,
teeth,2
,
loudly,2
,
sad,2
,
trousers,2
,
shoes,2
,
bag,2
,
brown,2
,
tooth,2
,
nose,2
,
fingers,2
,
fat,2
,
closed,2
,
call,2
,
minutes,2
,
hole,2
,
feet,2
,
elpmyupasteps,2
,
feel,2
,
moved,2
,
gentleman,2
,
hands,2
,
spoke,2
,
book,2
,
hungry,2
,
beds,2
,
likes,2
,
write,2
,
faithfully,2
,
loved,2
,
reading,2
,
talking,2
,
floor,2
,
slow,2
,
blind,2
,
round,2
,
leave,2
,
ladies,2
,
famous,2
,
knees,2
,
TRUE,2
,
remember,2
,
windows,2
,
children,2
,
exciting,2
,
happily,2
,
singing,2
,
weeks,2
,
bread,2
,
blue,2
,
april,2
,
heavy,2
,
died,2
,
closing,1
,
tomorrow,1
,
tomorrowi,1
,
twelve,1
,
stand,1
,
accidents,1
,
worst,1
,
shirt,1
,
biglike,1
,
hair,1
,
holes,1
,
smiling,1
,
glass,1
,
apples,1
,
bananas,1
,
elephantman,1
,
town,1
,
simon,1
,
bring,1
,
november,1
,
grey,1
,
step,1
,
boy,1
,
goodbye,1
,
drove,1
,
locked,1
,
wasn,1
,
easy,1
,
pocket,1
,
tired,1
,
cars,1
,
newspaper,1
,
trevesa,1
,
doctorsawmerrick,1
,
ship,1
,
drtreves,1
,
remembers,1
,
bathroom,1
,
bath,1
,
chairs,1
,
bible,1
,
stories,1
,
alive,1
,
screamed,1
,
dropped,1
,
girl,1
,
scream,1
,
laughs,1
,
sadly,1
,
tear,1
,
eye,1
,
arevery,1
,
ashed,1
,
lighthouses,1
,
sea,1
,
todsy,1
,
sound,1
,
laughing,1
,
tears,1
,
shookhis,1
,
cup,1
,
tea,1
,
living,1
,
sohe,1
,
gentlemen,1
,
forget,1
,
uglybody,1
,
pleased,1
,
meet,1
,
pleasedto,1
,
hear,1
,
easily,1
,
visits,1
,
windsor,1
,
castle,1
,
doesn,1
,
visiting,1
,
lo,1
,
played,1
,
theatremrs,1
,
kendalhelped,1
,
bought,1
,
tickets,1
,
backthe,1
,
knife,1
,
heard,1
,
married,1
,
remembered,1
,
countryman,1
,
everyday,1
,
sang,1
,
green,1
,
song,1
,
wonderfully,1
,
apple,1
,
tree,1
,
west,1
,
wickham,1
,
berkshire,1
,
st,1
,
july,1
,
warm,1
,
hours,1
,
watched,1
,
fish,1
,
fast,1
,
touch,1
,
dog,1
,
yesterday,1
,
loud,1
,
smelt,1
,
thirsty,1
,
months,1
,
inbed,1
,
asleep,1
,
hetried,1
,
broke,1
,
aws,1
,
born,1
,
givemerrick,1
,
doctors,1
,
atre,1
,
couldgive,1
,
longtime,1
