µ¥´Ê,´ÊÆµ
scott,62
dogs,56
amundsen,41
sledges,35
snow,34
oates,33
pole,33
ponies,33
south,30
day,29
bjaaland,27
looked,24
kilometres,24
evans,23
food,22
flag,20
wrote,18
ship,17
captain,16
don,16
motor,16
cape,15
house,14
mountains,14
ice,14
depot,14
north,13
skis,13
framheim,13
tired,13
sledge,13
days,12
bad,12
front,12
race,11
black,11
smiled,11
waited,11
lot,11
left,11
strong,10
laughed,10
warm,10
norwegians,10
feet,10
cold,10
johansen,10
chapter,9
british,9
norway,9
fram,9
journey,9
slowly,9
winter,9
wind,9
skied,9
sea,8
happy,8
quietly,8
roald,8
earth,8
didn,8
ill,8
unhappy,8
newspaper,8
win,8
flags,8
faster,8
stayed,8
start,8
tent,8
teddy,8
walked,7
talked,7
friends,7
beautiful,7
hanssen,7
started,7
pulled,7
holes,7
died,7
meares,7
bowers,7
terra,6
nova,6
wooden,6
minute,6
wonderful,6
hours,6
time,6
map,6
antarctica,6
stopped,6
ski,6
white,6
angrily,6
night,6
january,6
centigrade,6
morning,6
angry,6
snowstorm,6
summer,5
stood,5
clothes,5
dark,5
quiet,5
antarctic,5
ready,5
hard,5
understand,5
difficult,5
arrived,5
doesn,5
inside,5
letter,5
leave,5
temperature,5
tents,5
march,5
november,5
wisting,5
pull,5
diary,5
december,5
titus,4
door,4
water,4
olav,4
moved,4
island,4
hassel,4
eat,4
weather,4
september,4
called,4
travel,4
october,4
stupid,4
matter,4
mother,4
depots,4
englishmen,4
reached,4
top,4
listened,4
sun,4
twentyeight,4
fog,4
travelled,4
plateau,4
wilson,4
june,3
river,3
people,3
excited,3
coming,3
houses,3
arctic,3
ninetynine,3
easy,3
questions,3
alaska,3
boys,3
answer,3
couldn,3
fast,3
norwegian,3
read,3
tomorrow,3
coldest,3
wet,3
dangerous,3
half,3
fifty,3
ten,3
walk,3
dead,3
twentyfour,3
camp,3
remember,3
august,3
happily,3
st,3
ate,3
ships,2
lst,2
thousands,2
tall,2
blue,2
boy,2
feel,2
carry,2
trees,2
skiers,2
midnight,2
lindstrom,2
dirty,2
wait,2
friend,2
helmer,2
speak,2
american,2
america,2
englishman,2
idea,2
watched,2
isn,2
english,2
zealand,2
carefully,2
learn,2
money,2
stay,2
lived,2
february,2
eighteen,2
sixty,2
east,2
winds,2
thirteen,2
kill,2
wrong,2
played,2
weeks,2
cook,2
told,2
die,2
clock,2
king,2
lay,2
bed,2
drive,2
equipment,2
happened,2
easily,2
killed,2
thirty,2
edgar,2
lindstrm,2
god,2
emptiest,2
poor,2
hungry,2
bodies,2
london,1
thames,1
watch,1
robert,1
falcon,1
fortyone,1
eyes,1
exciting,1
famous,1
sky,1
treesand,1
housedogs,1
greenland,1
play,1
finished,1
hey,1
laughingcome,1
fat,1
bringing,1
witn,1
jo,1
hansen,1
horn,1
ago,1
peary,1
late,1
talking,1
smile,1
earthbjaaland,1
wellington,1
talk,1
antarctici,1
races,1
hand,1
dogsthey,1
sixteen,1
sledgesthey,1
menthat,1
forget,1
buy,1
chinathey,1
earththey,1
foodmore,1
nineteen,1
penies,1
table,1
mistakes,1
beglnning,1
tonne,1
betweencentigrade,1
andcentigrade,1
depoteach,1
kilometre,1
nextand,1
west,1
harder,1
boots,1
twentysix,1
poniesthey,1
fifteen,1
answered,1
animalsthe,1
meat,1
slower,1
months,1
shops,1
wasn,1
changed,1
stronger,1
equipmentthe,1
midwinter,1
skier,1
roaldthey,1
slow,1
thenit,1
coldly,1
football,1
newspaperthe,1
polar,1
timesand,1
books,1
learnt,1
journeys,1
window,1
pen,1
britisn,1
hour,1
atcentigrade,1
southeight,1
eightysix,1
saturday,1
sunday,1
monday,1
downto,1
buthe,1
thirtyseven,1
round,1
sat,1
empty,1
seventyfive,1
afternoon,1
twojohansen,1
prestrudwent,1
wascentigrade,1
listen,1
captaini,1
evening,1
edward,1
land,1
prestrud,1
stubberud,1
therebut,1
antarcticthe,1
week,1
sleep,1
fourteen,1
timeamundsen,1
fortyeight,1
suddenly,1
metre,1
hole,1
fourth,1
broken,1
menthey,1
pulling,1
foot,1
highsome,1
skiing,1
road,1
bring,1
bigger,1
eightyone,1
metres,1
tney,1
fst,1
lost,1
hundreds,1
green,1
snowstorms,1
twentyfive,1
itwe,1
strongwe,1
notfive,1
pleased,1
fell,1
sunny,1
spoke,1
helps,1
true,1
running,1
laugh,1
quicklyi,1
friday,1
asleep,1
coffee,1
whatoh,1
fiag,1
hands,1
iscentigrade,1
awful,1
wife,1
kathleen,1
cry,1
husband,1
onten,1
eleven,1
twelve,1
lose,1
worse,1
birthday,1
thirtytwo,1
tentscott,1
letters,1
diaries,1
families,1
body,1
