单词,词频
说,85
瑞拉,76
司令,69
达克,67
卫兵,59
扎,54
地球,44
高格,37
臭氧层,34
事,31
凯,30
人工,27
船长,25
贝尔,23
里,22
岱,22
塞鲁,21
月亮,20
监狱,20
想,19
房间,17
走,17
号,15
阿岱,14
出租车,14
告诉,14
高,13
听,13
站,12
格,12
喊,12
火星,12
部族,11
问,11
死,11
宇宙飞船,10
谈谈,10
火车,10
有人,9
飞船,9
起身,9
澳大利亚,9
离开,9
打开,9
飞机,9
数字,8
生气,8
电话,8
办公室,8
猫,8
杀,8
哥哥,8
朋友,7
卫星,7
平静,7
凯说,7
不想,7
谈,7
前,7
基桑加尼,7
早晨,7
对不起,7
跑,7
两个,7
雨水,7
笑,7
钱,7
下雨,6
欧洲,6
注视,6
眼睛,6
两年,6
数据,6
司机,6
正,6
跳,6
等待,6
地说,6
地板,6
森林,6
破裂,5
美丽,5
工作,5
上空,5
请,5
坐,5
月球,5
点钟,5
帮忙,5
机场,5
门口,5
马路,5
昨天,5
凯问,5
枪,5
一声,5
一半,5
我要,5
很快,5
犯人,5
打死,5
塞鲁说,5
太阳,4
这颗,4
年,4
非洲,4
面前,4
吃饭,4
回答,4
洞,4
说得对,4
凯站,4
头发,4
黑色,4
递给,4
开口,4
晚上,4
回到,4
停,4
回,4
来到,4
带到,4
情况,4
开,4
明天,4
见到,4
看凯,4
昂贵,4
椅子,4
新,4
看着,4
坐在,4
午夜,4
没关系,4
大火,4
降落,4
水,3
住,3
衣兜,3
希望,3
脸,3
明白,3
呆,3
父亲,3
也许,3
打个,3
第二天,3
说凯,3
感到,3
回来,3
出发,3
四个,3
几个,3
一阵,3
噢,3
谈过,3
手,3
走进,3
星球,3
小心,3
窗户,3
黑,3
桌子,3
门边,3
再见,3
后门,3
队长,3
杀掉,3
火灾,3
朝扎,3
疲惫,3
身边,3
高格要,3
神情,3
咖啡,3
三明治,3
中,3
吃,3
燃烧,2
行星,2
小洞,2
东西,2
之间,2
事情,2
发生,2
制造,2
树,2
河里,2
树林,2
河流,2
生活,2
00,2
飞快,2
变换,2
穿过,2
长发,2
桌上,2
本子,2
转向,2
本来,2
身高,2
喊道,2
女人,2
喝点,2
凯把,2
笔记本,2
脸色,2
累,2
窗子,2
透过,2
天空,2
显得,2
冰冷,2
这事,2
年前,2
毁灭,2
一眼,2
上次,2
涨红,2
第一次,2
喝,2
说话,2
脚步,2
漆黑,2
巴西,2
凯笑,2
饿,2
飞往,2
悉尼,2
一辆,2
吩咐,2
接见,2
不行,2
正说,2
大门口,2
蓝眼睛,2
一头,2
浓密,2
随即,2
缓缓,2
那辆,2
笑容,2
理解,2
启动,2
干嘛,2
事扎,2
谈论,2
他会,2
点,2
好运,2
房门,2
他凯,2
快点,2
座,2
门,2
楼,2
一扇门,2
绿,2
鲜花,2
一件,2
喜欢,2
黑白相间,2
另一头,2
帮,2
身后,2
行,2
说起,2
要钱,2
花钱,2
带走,2
门前,2
打电话,2
进,2
愤怒,2
从来不,2
好人,2
阻止,2
找,2
送死,2
那天,2
清晨,2
安静,2
真,2
目光,2
恐惧,2
开枪,2
毁掉,2
烧毁,2
杀死,2
疯,2
脸上,2
塞鲁笑,2
糟糕,2
准备就绪,2
悄悄地,2
逃走,2
一架,2
黑烟,2
简介,1
火球,1
光和热,1
生存,1
保护,1
免受,1
之火,1
伤害,1
将会,1
变得,1
越来越,1
挡,1
火焰,1
000,1
生命,1
发芽,1
幼嫩,1
枯萎,1
干涸,1
危险,1
情景,1
做些,1
路途遥远,1
首领,1
不肯,1
听从,1
指挥,1
本书,1
作者,1
罗,1
维纳,1
阿金,1
耶米,1
英国人,1
居住,1
多年,1
剑桥,1
公里,1
高度,1
向北,1
飞行,1
尾部,1
里凯,1
计算机屏幕,1
凯眼,1
眨,1
走到,1
桌旁,1
观察,1
女孩,1
二十岁,1
黑黑的,1
大大的,1
他伏,1
记录,1
停止,1
大洞,1
增大,1
见塞鲁,1
待会儿,1
两米,1
朝塞鲁,1
门外,1
胖脸,1
小个子,1
不用,1
谢谢,1
变,1
不早了,1
坐下,1
一扇,1
玻璃,1
凝望,1
天幕,1
皎洁,1
仔细,1
双手,1
插进,1
窗前,1
免于,1
灾难,1
谈一谈,1
动,1
记得,1
船上,1
发回,1
寻常,1
特别,1
分配,1
作,1
凯等,1
两秒钟,1
糟塞鲁,1
