单词,词频
克丽斯,76
拉乌尔,73
说,71
廷,55
歌剧院,54
里,47
幽灵,43
声音,26
包厢,26
埃里克,26
阿尔芒,25
菲尔曼,24
演唱,23
歌剧,22
夫人,21
告诉,20
巴黎,19
男人,19
波斯,19
经理,18
洛塔,18
廷达埃,18
房间,17
吉丽,17
化妆室,16
号,16
看着,16
听到,15
姑娘,15
脸,15
想,15
拉卡,15
走廊,14
事,14
今晚,14
爱,14
跑,13
听,13
舞台,12
问,12
晚上,12
玛格丽塔,12
沙尼,12
家族,12
子爵,12
走,12
谈论,11
道,11
说话,11
请,11
天使,11
妈妈,10
梅格,10
死,10
发生,9
一位,9
害怕,9
朋友,9
歌唱家,9
年轻,9
轻声,9
镜子,9
喜欢,8
约瑟夫,8
鲜花,8
这是,8
秘密,8
房子,8
楼梯,8
真的,7
来到,7
安妮,7
穿过,7
比凯,7
回到,7
两位,7
做,7
感到,7
音乐,7
离开,7
门,7
喊道,7
鬼,6
黑色,6
中,6
记得,6
有时候,6
身后,6
快乐,6
新,6
信,6
钱,6
微笑,6
显得,6
手,6
唱,6
地方,6
花园,6
手臂,6
名字,6
丑陋,6
故事,5
舞蹈演员,5
黑暗,5
死人,5
著名,5
生活,5
进,5
前,5
底下,5
第一个,5
疯,5
病,5
达埃,5
夜晚,5
话,5
发怒,5
星期二,5
两个,5
事故,5
女人,5
妻子,5
放在,5
科艾克,5
双手,5
可怕,5
星期六,5
尖叫,5
结婚,5
吻,5
年,4
面前,4
眼睛,4
晚礼服,4
黄色,4
面孔,4
工作,4
索雷丽,4
脸色苍白,4
把门,4
关上,4
墙上,4
打开,4
黑洞,4
傻瓜,4
小时,4
绳子,4
星期,4
地说,4
想要,4
封信,4
做些,4
两,4
万法郎,4
浮士德,4
挪威,4
也许,4
唱得,4
笑,4
菲利普,4
这位,4
伯爵,4
美丽,4
站,4
回答,4
星期五,4
希望,4
凝视着,4
我爱你,4
低声,4
枝形吊灯,4
提及,4
湖上,4
有鬼,3
事情,3
脸上,3
穿,3
鼻子,3
转向,3
高个子,3
穿着,3
梅格吉丽,3
第一次,3
看门人,3
留下,3
票,3
晚场,3
谈论着,3
演出,3
有人,3
一张,3
脖子,3
办公室,3
不想,3
一遍,3
记住,3
我会,3
死对头,3
气,3
玩笑,3
太,3
美妙,3
喊,3
老师,3
弟弟,3
岁,3
我要,3
明白,3
布列塔尼,3
演员,3
靠近,3
门口,3
门外,3
小心翼翼,3
情人,3
背后,3
星期三,3
下午,3
喊叫,3
坐下,3
聪明,3
危险,3
轻声道,3
一封信,3
演唱家,3
把手,3
呆,3
黑,3
爱情,3
卡,3
忘记,3
绳索,3
约会,3
发出,3
面罩,3
不幸,3
杀,3
转过身,3
一道,3
一会儿,3
灯,3
仔细,3
河流,3
图画,3
渴,3
几个,3
遇见,2
墙壁,2
头颅,2
却是,2
创作,2
英国,2
黑发,2
大笑,2
开口,2
黑头发,2
后悔,2
亲爱,2
话题,2
结束,2
先,2
动静,2
母亲,2
脸色,2
苍白,2
是从,2
掉,2
发现,2
尸体,2
绕,2
人物,2
意外事故,2
气愤,2
自杀,2
谈,2
00,2
一封,2
新任,2
写信,2
出售,2
观看,2
那位,2
一个月,2
当晚,2
生气,2
急忙,2
一副,2
演唱者,2
歌喉,2
嗓音,2
世界,2
我能,2
拜访,2
兄长,2
父亲,2
年前,2
一字一顿,2
家庭,2
年轻人,2
那天,2
医生,2
快步,2
身体,2
不悦,2
忘,2
轻轻地,2
歌唱,2
答案,2
跟着,2
椅子,2
衣服,2
阴暗,2
0000,2
成,2
送到,2
空着,2
留给,2
一只,2
癞蛤蟆,2
满脸,2
通红,2
小娘们,2
阻止,2
走近,2
手里,2
署名,2
星期四,2
杜伊勒,2
利,2
生,2
点,2
分,2
沉默,2
慢慢,2
法国,2
一名,2
脚下,2
停下来,2
真想,2
无处不在,2
出名,2
早餐,2
家里,2
完,2
担心,2
门边,2
问是,2
异样,2
歌曲,2
始于,2
面面相觑,2
埋进,2
之中,2
可怜,2
抬头,2
变得,2
不愿,2
不见,2
顶层,2
他来,2
戴着,2
湖,2
住,2
急急,2
对不起,2
停住,2
帽子,2
飞快,2
下楼梯,2
不高兴地,2
带上,2
时,2
熄灭,2
亮,2
走进,2
三个,2
抓住,2
跟我来,2
倾听,2
墙,2
动,2
拷问,2
跳动,2
热,2
嘲笑,2
闭上眼睛,2
水,2
缓缓,2
自由,2
活着,2
沃利,2
建造,2
简介,1
讲述,1
一件,1
不可思议,1
穿越,1
工人,1
但他却,1
空,1
名叫,1
盖斯,1
顿勒罗,1
克斯,1
法国人,1
最早,1
书,1
受欢迎,1
拍成,1
一部,1
美国,1
无声电影,1
著名演员,1
朗钱尼,1
扮演,1
从那以后,1
电影,1
戏剧,1
安德鲁,1
