Name Weight
程心 1621
罗辑 1271
汪淼 638
智子 600
叶文洁 478
关一帆 287
史强 229
丁仪 171
庄颜 119
伊文斯 91
常伟思 89
曹彬 87
杨卫宁 77
坎特 74
杨冬 62
吴岳 60
萨伊 52
申玉菲 49
张援朝 49
潘寒 45
弗雷斯 38
伽尔宁 35
魏成 30
叶哲泰 30
史晓明 30
蓝西 30
白沐霖 29
西子 28
褚岩 28
杨晋文 27
沙瑞山 25
斯坦顿 24
艾克 24
毕云峰 23
白蓉 22
斯科特 22
老李 22
艾伦 21
胡文 21
赵鑫 20
杰森 20
苗福全 19
熊文 13
李维 13
雷德尔 10
张翔 10
程丽华 9
琼斯 9
柯曼琳 9
卓文 9
麦克 8
巴勒莫 8
叶文雪 7
罗宾逊 7
列文 6
马钢 5
大凤 5
张延 5
伊万 5
威尔逊 4
豆豆 3
哈里斯 3
张卫明 3
郭正明 3
于维民 3
乔依娜 3
林云 2
李瑶 2
刘晓明 2
布莱尔 2
洋洋 1
咪咪 1
唐红静 1
晓虹 1
凯瑟琳 1
